company,year,Life,Economic,Equity,Social,Resources,Environments
BVH,2020,45.3279,47.928085,41.905598,47.29842,45.095787,44.63961
BVH,2021,45.30073,47.958035,41.60678,47.04646,45.21697,44.925583
BVH,2022,46.02535,48.38443,42.257717,47.57257,45.819454,45.492138
BVH,2023,46.81973,50.167236,43.86496,48.468037,47.00017,46.57744
BVH,2024,47.03661,50.679157,44.22572,49.004227,47.48176,47.25411
BVH,2025,47.500507,51.04045,44.434677,49.406223,47.770664,47.58863
PAN,2020,43.99945,46.042812,40.79073,44.493923,44.12032,43.35351
PAN,2021,45.31543,47.490974,42.145573,45.6936,44.858627,44.51059
PAN,2022,45.57484,48.001198,42.75554,46.15506,45.7699,45.415962
PAN,2023,43.632915,46.13663,41.228115,44.349865,43.482735,43.04979
PAN,2024,44.709538,47.225933,41.773083,45.59247,45.60264,45.358715
PAN,2025,45.630474,48.86637,42.768513,46.769955,46.596085,46.326595
PLX,2020,43.32613,46.46637,41.188633,45.340088,45.196922,44.363457
PLX,2021,40.37553,43.82599,37.786983,42.691666,42.259937,41.473286
PLX,2022,43.0696,46.116142,41.22018,44.621113,44.828407,44.041656
PLX,2023,39.634537,41.755493,37.981777,41.71072,41.04466,40.887848
PLX,2024,40.944263,46.385868,38.303307,44.994106,45.14099,45.14196
PLX,2025,45.485016,48.708755,43.371735,47.14475,46.86015,46.411247
PNJ,2020,43.32848,47.631565,42.143894,46.386597,45.507645,44.44542
PNJ,2021,43.595337,47.46976,41.706654,45.73409,46.342255,45.02617
PNJ,2022,48.7735,53.255608,46.945038,51.681477,49.980278,50.330246
PNJ,2023,42.708088,46.415714,41.448395,45.52264,45.512627,44.019325
PNJ,2024,43.344036,47.351677,42.392994,46.27429,46.44117,44.952034
PNJ,2025,45.700375,49.883034,44.46787,48.31026,47.823544,47.036827
SSI,2020,42.564243,46.04857,41.26897,45.201843,43.12504,42.820152
SSI,2021,43.920837,47.446182,42.174103,46.536556,44.112366,43.89426
SSI,2022,44.54895,48.202484,42.998447,47.22182,44.863922,44.703068
SSI,2023,43.78297,47.460617,42.56981,46.60318,44.08367,43.808117
SSI,2024,45.690308,49.392982,44.576008,48.419224,46.069534,46.312252
SSI,2025,40.58597,44.653236,38.36014,44.014095,42.326992,40.71192
VCS,2020,46.32213,50.706146,44.363758,48.957302,48.479103,47.175884
VCS,2021,46.45067,50.97923,44.579666,49.34517,48.582474,47.268238
VCS,2022,45.22169,49.98252,43.531708,48.23468,47.87649,46.212322
VCS,2023,45.74532,50.13533,43.898376,48.54836,48.367676,46.811337
VCS,2024,45.93092,50.516186,43.89578,48.890423,48.41991,47.015118
VCS,2025,47.476078,51.897305,44.94337,50.51051,50.026154,49.352596
VNM,2020,40.40553,43.512657,38.659595,42.587627,42.35784,41.23156
VNM,2021,40.825703,43.876812,38.83846,42.555515,42.25762,41.29421
VNM,2022,40.28998,43.1923,38.576885,42.012177,42.528217,41.649376
VNM,2023,43.112804,45.768066,41.19037,44.529953,44.866104,44.102768
VNM,2024,43.3361,46.02777,41.295532,44.95962,45.095715,44.690582
VNM,2025,45.596188,48.14627,43.104115,46.957977,47.329678,47.28759
