company,year,goal01,goal02,goal03,goal04,goal05,goal06,goal07,goal08,goal09,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
BVH,2020,47.229992,45.351173,43.40253,43.23053,36.964863,40.67208,47.74873,47.540253,48.31592,45.521397,44.433167,48.32032,43.1081,43.64201,46.171116,46.439877,51.02222
BVH,2021,47.257824,45.360294,43.28407,42.469025,36.697136,40.801373,47.8424,47.581688,48.33438,45.654182,43.95926,48.366264,43.6335,43.857838,46.217663,46.269997,50.910126
BVH,2022,48.17701,46.2655,43.633545,43.0564,37.456036,41.59982,48.17578,48.100384,48.66848,46.26071,44.41655,49.016743,43.94652,44.485477,47.037754,46.78915,51.51201
BVH,2023,48.453167,46.87566,45.130356,46.12873,39.413643,43.43334,49.084015,49.768513,50.565956,46.05251,46.17459,50.02785,45.248444,45.455482,47.906437,46.808403,52.42112
BVH,2024,48.649372,47.12337,45.33709,46.45893,39.731846,43.862465,49.63809,50.32426,51.034054,46.48637,46.65666,50.550053,45.992657,45.87642,48.51556,47.443737,52.912285
BVH,2025,49.026123,47.661934,45.81347,46.74582,39.72678,43.925644,50.03459,50.62135,51.45955,46.831436,47.13471,50.983593,46.200237,46.138832,48.977024,47.759453,53.324512
PAN,2020,44.96646,45.743942,41.28794,43.280678,36.641636,41.403786,45.188427,45.436394,46.64923,42.449875,42.77521,46.69741,41.73033,43.19165,44.976692,42.551308,48.155247
PAN,2021,46.3758,47.219154,42.351337,43.92506,38.455345,42.189915,46.099922,47.092026,47.88992,44.05631,43.45236,47.239147,42.878693,43.905525,46.14249,43.920715,49.707726
PAN,2022,46.658524,47.410328,42.655674,44.370136,39.18106,43.390537,46.763245,47.63668,48.36571,44.715416,43.86338,47.984455,43.908474,44.941372,46.923447,44.60052,50.001278
PAN,2023,44.399647,45.458313,41.040787,43.28659,37.683426,40.389065,45.214874,45.829536,46.443726,42.71433,42.256287,45.886246,41.621742,42.440758,44.477833,42.61359,48.17971
PAN,2024,45.257996,47.087673,41.782944,44.458782,37.603035,43.190918,46.45247,46.331738,48.12013,43.257435,43.90301,47.976692,43.53592,44.79048,47.18151,43.478214,49.39617
PAN,2025,46.323486,47.469795,43.09813,45.325367,38.292774,43.77377,47.78005,48.13543,49.59731,44.687393,44.826317,49.006813,44.749374,45.823715,47.903816,44.99249,50.49106
PLX,2020,45.125347,43.238976,41.614075,43.146126,36.832073,42.67455,46.45155,45.852974,47.07976,43.587708,42.73537,47.01116,44.146465,44.650433,44.58045,44.52899,48.755905
PLX,2021,41.748375,40.191288,39.18692,39.92863,33.017914,38.208782,44.43421,42.5489,45.103073,40.414402,40.636364,44.693027,41.76427,41.70373,41.1823,41.267365,46.171265
PLX,2022,44.774242,43.29286,41.141697,42.873768,37.30105,42.570198,46.25661,45.49519,46.7371,43.48572,41.760246,46.375076,44.132133,44.111748,43.951176,44.041595,48.061493
PLX,2023,41.21773,40.019703,37.66618,39.392372,34.079445,39.52444,41.821514,40.926903,42.58408,40.47351,39.02809,42.014915,40.92713,40.817764,40.84856,41.31285,44.79122
PLX,2024,42.01526,40.740788,40.076744,40.75683,32.19344,40.95209,48.1095,44.938366,47.83337,41.959652,42.674175,47.152405,46.229958,44.349964,44.053963,43.63801,48.67013
PLX,2025,47.30395,45.59724,43.553864,45.397243,39.416866,44.81815,48.038967,47.96757,49.449936,45.301086,44.292652,48.567883,46.18638,46.0156,46.636112,46.572,50.569603
PNJ,2020,45.103848,42.996796,41.8848,43.921585,38.0168,40.835915,49.033794,46.74574,48.51739,44.493305,43.276295,47.909424,44.12862,44.251442,44.762222,45.22511,50.658394
PNJ,2021,45.270386,43.332592,42.18303,43.14613,38.47673,42.952618,48.368546,46.322075,48.617447,43.4971,43.215916,48.842575,45.051315,45.205276,45.001022,44.07673,49.90963
PNJ,2022,50.799084,47.59148,47.929928,49.11024,41.84677,44.699238,54.603508,52.716232,53.79498,49.8781,48.181293,51.5054,49.727848,49.112972,50.932648,50.703716,56.15943
PNJ,2023,44.41519,42.412495,41.29659,43.58443,37.46155,41.112667,48.830845,44.863766,47.967663,43.2992,42.420895,47.818268,44.232967,44.288734,43.805687,44.36786,49.77916
PNJ,2024,44.876602,43.04933,42.10618,44.136765,38.824802,41.771286,49.739002,46.325977,48.377373,44.21741,43.36139,49.21616,44.753174,45.038223,45.150894,45.56727,49.8942
PNJ,2025,47.188366,45.731216,44.181534,46.726032,40.69548,43.257996,51.03124,49.1697,50.596367,45.9821,45.181557,50.777702,46.480614,46.227238,47.593044,47.35016,52.39908
SSI,2020,44.426823,42.60861,40.6573,42.75687,37.190155,39.1501,45.675262,45.264275,46.832867,43.859894,42.3582,45.212166,41.661385,42.462624,43.97892,44.36778,48.87956
SSI,2021,46.07266,43.92674,41.763115,43.859222,37.948524,40.551846,46.866516,46.568504,48.323864,44.714565,43.228607,45.731735,43.0654,43.29937,44.72312,45.384758,50.9963
SSI,2022,46.706177,44.787582,42.153084,44.6518,38.887157,41.29432,47.56356,47.379036,49.025932,45.456394,43.765026,46.532463,43.59801,44.065346,45.808125,46.1728,51.727646
SSI,2023,45.86615,43.968197,41.51456,44.241283,38.57906,40.397793,46.835457,46.639347,48.281883,44.889088,43.30093,45.889774,42.64498,43.211655,44.971252,45.58043,50.92818
SSI,2024,47.6701,46.068497,43.332333,46.420982,40.6284,42.735176,48.12059,48.710903,50.075058,46.678642,44.898315,47.942112,44.73511,45.48026,47.889393,47.937725,52.421635
SSI,2025,42.774334,38.864735,40.118855,38.805557,32.763454,37.932495,47.304775,43.127514,46.178963,43.51142,40.591976,42.279346,41.22382,41.79135,40.20002,44.28272,47.167587
VCS,2020,47.914673,46.32213,44.72958,46.598866,40.41263,45.53795,50.315426,49.631126,51.781166,46.07979,46.134693,50.982735,46.44827,47.080303,47.9035,47.705494,53.031715
VCS,2021,48.135777,46.52867,44.68756,46.912834,40.583164,45.27316,50.888317,49.95199,52.00647,46.243004,46.47045,51.093346,46.500557,47.075077,48.03592,47.984318,53.580734
VCS,2022,46.598846,45.255634,43.81059,45.85395,39.46079,44.160675,50.535065,48.98555,50.979492,45.28039,45.63196,50.622467,45.497513,46.18776,46.92713,46.87313,52.198956
VCS,2023,47.31124,45.86565,44.059067,46.24949,40.006275,45.24218,50.429577,49.151386,51.119274,45.439373,46.115936,51.010605,45.974915,46.78834,47.64776,46.98655,52.5426
VCS,2024,47.24666,46.265247,44.280857,46.48565,39.595993,44.711952,51.05205,49.480564,51.551807,45.605686,46.435547,51.238308,46.222015,46.677326,47.80822,47.33578,52.89994
VCS,2025,48.800385,47.777985,45.849865,47.23354,40.21977,46.03159,52.796856,50.838215,52.956394,47.3768,47.952927,53.17686,48.60303,48.099304,50.10216,49.248405,54.3302
VNM,2020,41.413677,40.49554,39.30737,39.984272,35.013462,39.250534,45.08707,42.872723,44.15259,40.98106,40.2725,44.06268,40.37058,41.03109,42.09254,41.3772,46.113174
