company,year,Negative,Neutral,Positive,Ratio
PAN,2019,55,160,403,7.327272727272727
PAN,2020,66,172,514,7.787878787878788
PAN,2021,88,139,607,6.8977272727272725
PAN,2022,89,149,574,6.449438202247191
PAN,2023,55,59,297,5.4
PAN,2024,60,115,613,10.216666666666667
PAN,2025,69,127,534,7.739130434782608
PLX,2018,55,96,262,4.763636363636364
PLX,2019,118,216,413,3.5
PLX,2020,121,274,447,3.6942148760330578
PLX,2021,10,8,30,3.0
PLX,2022,182,246,587,3.2252747252747254
PLX,2023,55,78,246,4.472727272727273
PLX,2024,3,9,28,9.333333333333334
PLX,2025,77,126,402,5.220779220779221
PNJ,2019,54,128,405,7.5
PNJ,2020,43,97,401,9.325581395348838
PNJ,2021,34,46,265,7.794117647058823
PNJ,2022,137,19,182,1.3284671532846715
PNJ,2023,72,57,381,5.291666666666667
PNJ,2024,94,60,413,4.3936170212765955
PNJ,2025,106,107,499,4.7075471698113205
VNM,2019,61,102,406,6.655737704918033
VNM,2020,38,60,455,11.973684210526315
VNM,2021,64,63,458,7.15625
VNM,2022,38,57,323,8.5
VNM,2023,57,107,479,8.403508771929825
VNM,2024,51,86,554,10.862745098039216
VNM,2025,78,163,713,9.14102564102564
