company,year,close_yearend,close_avg,price_change_pct
BVH,2020,57129.0,43037.1,
BVH,2021,49161.0,50122.2,-13.95
BVH,2022,43618.0,48711.2,-11.28
BVH,2023,37870.0,41703.6,-13.18
BVH,2024,49747.0,42496.0,31.36
BVH,2025,56800.0,51969.8,14.18
PAN,2020,24839.0,15491.6,
PAN,2021,28136.0,21441.4,13.27
PAN,2022,10925.0,17176.7,-61.17
PAN,2023,14762.0,13921.7,35.12
PAN,2024,17723.0,17168.9,20.06
PAN,2025,20674.0,21453.5,16.65
PLX,2020,45324.0,38692.1,
PLX,2021,45680.0,44579.4,0.79
PLX,2022,28005.0,36328.8,-38.69
PLX,2023,31015.0,32786.7,10.75
PLX,2024,35030.0,37174.6,12.95
PLX,2025,34079.0,34783.6,-2.71
PNJ,2020,36207.0,29103.8,
PNJ,2021,43690.0,42466.7,20.67
PNJ,2022,55443.0,51265.5,26.9
PNJ,2023,54414.0,49448.0,-1.86
PNJ,2024,63208.0,61098.2,16.16
PNJ,2025,64049.0,56987.8,1.33
SSI,2020,10719.0,5168.8,
SSI,2021,24957.0,16904.7,132.83
SSI,2022,9440.0,13964.8,-62.17
SSI,2023,18182.0,14436.8,92.61
SSI,2024,18496.0,19118.1,1.73
SSI,2025,24179.0,21741.1,30.73
VCS,2020,59488.0,44823.0,
VCS,2021,82728.0,74277.2,39.07
VCS,2022,43463.0,58410.8,-47.46
VCS,2023,45535.0,44954.5,4.77
VCS,2024,55571.0,55614.8,22.04
VCS,2025,40579.0,45248.0,-26.98
VNM,2020,79366.0,68862.1,
VNM,2021,65510.0,68837.7,-17.46
VNM,2022,61739.0,60091.5,-5.76
VNM,2023,57090.0,59455.8,-7.53
VNM,2024,56564.0,58466.2,-0.92
VNM,2025,59260.0,55478.5,4.77
