company,date,year,month,close
BVH,2020-01-01,2020,1,50164.0
BVH,2020-02-01,2020,2,46837.0
BVH,2020-03-01,2020,3,31566.0
BVH,2020-04-01,2020,4,39414.0
BVH,2020-05-01,2020,5,42614.0
BVH,2020-06-01,2020,6,38817.0
BVH,2020-07-01,2020,7,34466.0
BVH,2020-08-01,2020,8,42571.0
BVH,2020-09-01,2020,9,41547.0
BVH,2020-10-01,2020,10,43712.0
BVH,2020-11-01,2020,11,47608.0
BVH,2020-12-01,2020,12,57129.0
BVH,2021-01-01,2021,1,48906.0
BVH,2021-02-01,2021,2,51156.0
BVH,2021-03-01,2021,3,51589.0
BVH,2021-04-01,2021,4,49598.0
BVH,2021-05-01,2021,5,46829.0
BVH,2021-06-01,2021,6,50551.0
BVH,2021-07-01,2021,7,44232.0
BVH,2021-08-01,2021,8,49339.0
BVH,2021-09-01,2021,9,50551.0
BVH,2021-10-01,2021,10,56004.0
BVH,2021-11-01,2021,11,53551.0
BVH,2021-12-01,2021,12,49161.0
BVH,2022-01-01,2022,1,47757.0
BVH,2022-02-01,2022,2,51883.0
BVH,2022-03-01,2022,3,53990.0
BVH,2022-04-01,2022,4,54517.0
BVH,2022-05-01,2022,5,46177.0
BVH,2022-06-01,2022,6,46089.0
BVH,2022-07-01,2022,7,50742.0
BVH,2022-08-01,2022,8,51356.0
BVH,2022-09-01,2022,9,46967.0
BVH,2022-10-01,2022,10,46089.0
BVH,2022-11-01,2022,11,45350.0
BVH,2022-12-01,2022,12,43618.0
BVH,2023-01-01,2023,1,47175.0
BVH,2023-02-01,2023,2,45396.0
BVH,2023-03-01,2023,3,45350.0
BVH,2023-04-01,2023,4,42027.0
BVH,2023-05-01,2023,5,40716.0
BVH,2023-06-01,2023,6,41278.0
BVH,2023-07-01,2023,7,45069.0
BVH,2023-08-01,2023,8,42308.0
BVH,2023-09-01,2023,9,39453.0
BVH,2023-10-01,2023,10,36411.0
BVH,2023-11-01,2023,11,37390.0
BVH,2023-12-01,2023,12,37870.0
BVH,2024-01-01,2024,1,38829.0
BVH,2024-02-01,2024,2,41130.0
BVH,2024-03-01,2024,3,40986.0
BVH,2024-04-01,2024,4,37822.0
BVH,2024-05-01,2024,5,42999.0
BVH,2024-06-01,2024,6,44102.0
BVH,2024-07-01,2024,7,41801.0
BVH,2024-08-01,2024,8,43622.0
BVH,2024-09-01,2024,9,41082.0
BVH,2024-10-01,2024,10,41225.0
BVH,2024-11-01,2024,11,46607.0
BVH,2024-12-01,2024,12,49747.0
BVH,2025-01-01,2025,1,49845.0
BVH,2025-02-01,2025,2,55536.0
BVH,2025-03-01,2025,3,52298.0
BVH,2025-04-01,2025,4,45086.0
BVH,2025-05-01,2025,5,49649.0
BVH,2025-06-01,2025,6,52102.0
BVH,2025-07-01,2025,7,48324.0
BVH,2025-08-01,2025,8,57793.0
BVH,2025-09-01,2025,9,54260.0
BVH,2025-10-01,2025,10,49845.0
BVH,2025-11-01,2025,11,52100.0
BVH,2025-12-01,2025,12,56800.0
PAN,2020-01-01,2020,1,15963.0
PAN,2020-02-01,2020,2,14782.0
PAN,2020-03-01,2020,3,13958.0
PAN,2020-04-01,2020,4,16464.0
PAN,2020-05-01,2020,5,15748.0
PAN,2020-06-01,2020,6,14209.0
PAN,2020-07-01,2020,7,12563.0
PAN,2020-08-01,2020,8,14817.0
PAN,2020-09-01,2020,9,14567.0
PAN,2020-10-01,2020,10,13243.0
PAN,2020-11-01,2020,11,14746.0
PAN,2020-12-01,2020,12,24839.0
PAN,2021-01-01,2021,1,18253.0
PAN,2021-02-01,2021,2,19731.0
PAN,2021-03-01,2021,3,20682.0
PAN,2021-04-01,2021,4,18635.0
PAN,2021-05-01,2021,5,18928.0
PAN,2021-06-01,2021,6,19805.0
PAN,2021-07-01,2021,7,18855.0
PAN,2021-08-01,2021,8,20608.0
PAN,2021-09-01,2021,9,20462.0
PAN,2021-10-01,2021,10,23678.0
PAN,2021-11-01,2021,11,29524.0
PAN,2021-12-01,2021,12,28136.0
PAN,2022-01-01,2022,1,21193.0
PAN,2022-02-01,2022,2,24080.0
PAN,2022-03-01,2022,3,23203.0
PAN,2022-04-01,2022,4,18708.0
PAN,2022-05-01,2022,5,16699.0
PAN,2022-06-01,2022,6,15127.0
PAN,2022-07-01,2022,7,16699.0
PAN,2022-08-01,2022,8,18562.0
PAN,2022-09-01,2022,9,16297.0
PAN,2022-10-01,2022,10,13300.0
PAN,2022-11-01,2022,11,11327.0
PAN,2022-12-01,2022,12,10925.0
PAN,2023-01-01,2023,1,12716.0
PAN,2023-02-01,2023,2,11400.0
PAN,2023-03-01,2023,3,12204.0
PAN,2023-04-01,2023,4,13593.0
PAN,2023-05-01,2023,5,13447.0
PAN,2023-06-01,2023,6,14397.0
PAN,2023-07-01,2023,7,16954.0
PAN,2023-08-01,2023,8,16041.0
PAN,2023-09-01,2023,9,14872.0
PAN,2023-10-01,2023,10,12789.0
PAN,2023-11-01,2023,11,13885.0
PAN,2023-12-01,2023,12,14762.0
PAN,2024-01-01,2024,1,15456.0
PAN,2024-02-01,2024,2,17137.0
PAN,2024-03-01,2024,3,18160.0
PAN,2024-04-01,2024,4,15566.0
PAN,2024-05-01,2024,5,17137.0
PAN,2024-06-01,2024,6,17910.0
PAN,2024-07-01,2024,7,17052.0
PAN,2024-08-01,2024,8,17052.0
PAN,2024-09-01,2024,9,17611.0
PAN,2024-10-01,2024,10,18246.0
PAN,2024-11-01,2024,11,16977.0
PAN,2024-12-01,2024,12,17723.0
PAN,2025-01-01,2025,1,18731.0
PAN,2025-02-01,2025,2,21081.0
PAN,2025-03-01,2025,3,19999.0
PAN,2025-04-01,2025,4,17052.0
PAN,2025-05-01,2025,5,20298.0
PAN,2025-06-01,2025,6,20746.0
PAN,2025-07-01,2025,7,25372.0
PAN,2025-08-01,2025,8,25067.0
PAN,2025-09-01,2025,9,23893.0
PAN,2025-10-01,2025,10,23628.0
PAN,2025-11-01,2025,11,20901.0
PAN,2025-12-01,2025,12,20674.0
PLX,2020-01-01,2020,1,40980.0
PLX,2020-02-01,2020,2,39898.0
PLX,2020-03-01,2020,3,29727.0
PLX,2020-04-01,2020,4,32821.0
PLX,2020-05-01,2020,5,37586.0
PLX,2020-06-01,2020,6,36242.0
PLX,2020-07-01,2020,7,34369.0
PLX,2020-08-01,2020,8,42757.0
PLX,2020-09-01,2020,9,41755.0
PLX,2020-10-01,2020,10,40676.0
PLX,2020-11-01,2020,11,42170.0
PLX,2020-12-01,2020,12,45324.0
PLX,2021-01-01,2021,1,40676.0
PLX,2021-02-01,2021,2,48313.0
PLX,2021-03-01,2021,3,45739.0
PLX,2021-04-01,2021,4,41755.0
PLX,2021-05-01,2021,5,45324.0
PLX,2021-06-01,2021,6,46442.0
PLX,2021-07-01,2021,7,43476.0
PLX,2021-08-01,2021,8,42120.0
PLX,2021-09-01,2021,9,43730.0
PLX,2021-10-01,2021,10,45849.0
PLX,2021-11-01,2021,11,45849.0
PLX,2021-12-01,2021,12,45680.0
PLX,2022-01-01,2022,1,47544.0
PLX,2022-02-01,2022,2,52799.0
PLX,2022-03-01,2022,3,46781.0
PLX,2022-04-01,2022,4,40679.0
PLX,2022-05-01,2022,5,37290.0
PLX,2022-06-01,2022,6,34154.0
PLX,2022-07-01,2022,7,34832.0
PLX,2022-08-01,2022,8,35764.0
PLX,2022-09-01,2022,9,27882.0
PLX,2022-10-01,2022,10,24153.0
PLX,2022-11-01,2022,11,26062.0
PLX,2022-12-01,2022,12,28005.0
PLX,2023-01-01,2023,1,32511.000000000004
PLX,2023-02-01,2023,2,32953.0
PLX,2023-03-01,2023,3,33085.0
PLX,2023-04-01,2023,4,33085.0
PLX,2023-05-01,2023,5,33129.0
PLX,2023-06-01,2023,6,32997.0
PLX,2023-07-01,2023,7,36663.0
PLX,2023-08-01,2023,8,34057.0
PLX,2023-09-01,2023,9,33712.0
PLX,2023-10-01,2023,10,28678.0
PLX,2023-11-01,2023,11,31555.0
PLX,2023-12-01,2023,12,31015.0
PLX,2024-01-01,2024,1,31105.0
PLX,2024-02-01,2024,2,32229.0
PLX,2024-03-01,2024,3,33533.0
PLX,2024-04-01,2024,4,32094.0
PLX,2024-05-01,2024,5,38299.0
PLX,2024-06-01,2024,6,38206.0
PLX,2024-07-01,2024,7,42876.0
PLX,2024-08-01,2024,8,45398.0
PLX,2024-09-01,2024,9,41568.0
PLX,2024-10-01,2024,10,38392.0
PLX,2024-11-01,2024,11,37365.0
PLX,2024-12-01,2024,12,35030.0
PLX,2025-01-01,2025,1,36898.0
PLX,2025-02-01,2025,2,40681.0
PLX,2025-03-01,2025,3,36944.0
PLX,2025-04-01,2025,4,31667.0
PLX,2025-05-01,2025,5,32226.999999999996
PLX,2025-06-01,2025,6,35961.0
PLX,2025-07-01,2025,7,34996.0
PLX,2025-08-01,2025,8,34851.0
PLX,2025-09-01,2025,9,33017.0
PLX,2025-10-01,2025,10,33355.0
PLX,2025-11-01,2025,11,32726.999999999996
PLX,2025-12-01,2025,12,34079.0
PNJ,2020-01-01,2020,1,36600.0
PNJ,2020-02-01,2020,2,35471.0
PNJ,2020-03-01,2020,3,20362.0
PNJ,2020-04-01,2020,4,25241.0
PNJ,2020-05-01,2020,5,27992.0
PNJ,2020-06-01,2020,6,25463.0
PNJ,2020-07-01,2020,7,22890.0
PNJ,2020-08-01,2020,8,26616.0
PNJ,2020-09-01,2020,9,27016.0
PNJ,2020-10-01,2020,10,30831.0
PNJ,2020-11-01,2020,11,34557.0
PNJ,2020-12-01,2020,12,36207.0
PNJ,2021-01-01,2021,1,37146.0
PNJ,2021-02-01,2021,2,37951.0
PNJ,2021-03-01,2021,3,38138.0
PNJ,2021-04-01,2021,4,44231.0
PNJ,2021-05-01,2021,5,45540.0
PNJ,2021-06-01,2021,6,45179.0
PNJ,2021-07-01,2021,7,43238.0
PNJ,2021-08-01,2021,8,38815.0
PNJ,2021-09-01,2021,9,44547.0
PNJ,2021-10-01,2021,10,46939.0
PNJ,2021-11-01,2021,11,44186.0
PNJ,2021-12-01,2021,12,43690.0
PNJ,2022-01-01,2022,1,47232.0
PNJ,2022-02-01,2022,2,46778.0
PNJ,2022-03-01,2022,3,50467.0
PNJ,2022-04-01,2022,4,49325.0
PNJ,2022-05-01,2022,5,52476.0
