company,year,goal01,goal02,goal03,goal04,goal05,goal06,goal07,goal08,goal09,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
BVH,2020,47.23,45.35,43.4,43.23,36.96,40.67,47.75,47.54,48.32,45.52,44.43,48.32,43.11,43.64,46.17,46.44,51.02
BVH,2021,47.26,45.36,43.28,42.47,36.7,40.8,47.84,47.58,48.33,45.65,43.96,48.37,43.63,43.86,46.22,46.27,50.91
BVH,2022,48.18,46.27,43.63,43.06,37.46,41.6,48.18,48.1,48.67,46.26,44.42,49.02,43.95,44.49,47.04,46.79,51.51
BVH,2023,48.45,46.88,45.13,46.13,39.41,43.43,49.08,49.77,50.57,46.05,46.17,50.03,45.25,45.46,47.91,46.81,52.42
BVH,2024,48.65,47.12,45.34,46.46,39.73,43.86,49.64,50.32,51.03,46.49,46.66,50.55,45.99,45.88,48.52,47.44,52.91
BVH,2025,49.03,47.66,45.81,46.75,39.73,43.93,50.03,50.62,51.46,46.83,47.13,50.98,46.2,46.14,48.98,47.76,53.32
PAN,2020,44.97,45.74,41.29,43.28,36.64,41.4,45.19,45.44,46.65,42.45,42.78,46.7,41.73,43.19,44.98,42.55,48.16
PAN,2021,46.38,47.22,42.35,43.93,38.46,42.19,46.1,47.09,47.89,44.06,43.45,47.24,42.88,43.91,46.14,43.92,49.71
PAN,2022,46.66,47.41,42.66,44.37,39.18,43.39,46.76,47.64,48.37,44.72,43.86,47.98,43.91,44.94,46.92,44.6,50.0
PAN,2023,44.4,45.46,41.04,43.29,37.68,40.39,45.21,45.83,46.44,42.71,42.26,45.89,41.62,42.44,44.48,42.61,48.18
PAN,2024,45.26,47.09,41.78,44.46,37.6,43.19,46.45,46.33,48.12,43.26,43.9,47.98,43.54,44.79,47.18,43.48,49.4
PAN,2025,46.32,47.47,43.1,45.33,38.29,43.77,47.78,48.14,49.6,44.69,44.83,49.01,44.75,45.82,47.9,44.99,50.49
PLX,2020,45.13,43.24,41.61,43.15,36.83,42.67,46.45,45.85,47.08,43.59,42.74,47.01,44.15,44.65,44.58,44.53,48.76
PLX,2021,41.75,40.19,39.19,39.93,33.02,38.21,44.43,42.55,45.1,40.41,40.64,44.69,41.76,41.7,41.18,41.27,46.17
PLX,2022,44.77,43.29,41.14,42.87,37.3,42.57,46.26,45.5,46.74,43.49,41.76,46.38,44.13,44.11,43.95,44.04,48.06
PLX,2023,41.22,40.02,37.67,39.39,34.08,39.52,41.82,40.93,42.58,40.47,39.03,42.01,40.93,40.82,40.85,41.31,44.79
PLX,2024,42.02,40.74,40.08,40.76,32.19,40.95,48.11,44.94,47.83,41.96,42.67,47.15,46.23,44.35,44.05,43.64,48.67
PLX,2025,47.3,45.6,43.55,45.4,39.42,44.82,48.04,47.97,49.45,45.3,44.29,48.57,46.19,46.02,46.64,46.57,50.57
PNJ,2020,45.1,43.0,41.88,43.92,38.02,40.84,49.03,46.75,48.52,44.49,43.28,47.91,44.13,44.25,44.76,45.23,50.66
PNJ,2021,45.27,43.33,42.18,43.15,38.48,42.95,48.37,46.32,48.62,43.5,43.22,48.84,45.05,45.21,45.0,44.08,49.91
PNJ,2022,42.74,39.46,39.85,43.12,40.17,41.38,45.42,44.82,45.94,44.19,43.75,45.81,41.3,43.27,45.71,47.26,45.99
PNJ,2023,44.42,42.41,41.3,43.58,37.46,41.11,48.83,44.86,47.97,43.3,42.42,47.82,44.23,44.29,43.81,44.37,49.78
PNJ,2024,44.88,43.05,42.11,44.14,38.82,41.77,49.74,46.33,48.38,44.22,43.36,49.22,44.75,45.04,45.15,45.57,49.89
PNJ,2025,47.19,45.73,44.18,46.73,40.7,43.26,51.03,49.17,50.6,45.98,45.18,50.78,46.48,46.23,47.59,47.35,52.4
SSI,2020,44.43,42.61,40.66,42.76,37.19,39.15,45.68,45.26,46.83,43.86,42.36,45.21,41.66,42.46,43.98,44.37,48.88
SSI,2021,46.07,43.93,41.76,43.86,37.95,40.55,46.87,46.57,48.32,44.71,43.23,45.73,43.07,43.3,44.72,45.38,51.0
