company,year,Life,Economic,Equity,Social,Resources,Environments
PAN,2019,46.95,48.18,42.61,46.24,45.98,45.24
PAN,2020,44.49,45.98,40.21,44.14,43.72,42.96
PAN,2021,47.35,49.02,42.94,47.04,45.66,45.51
PAN,2022,47.63,49.83,43.8,47.8,46.82,46.68
PAN,2023,44.93,46.83,42.16,45.1,43.48,42.96
PAN,2024,46.59,48.12,42.34,46.47,46.01,46.1
PAN,2025,49.97,52.99,45.8,50.5,49.7,49.68
PLX,2018,45.56,47.74,42.17,46.5,45.6,45.27
PLX,2019,45.05,47.42,41.95,45.99,45.78,44.96
PLX,2020,45.78,48.39,42.51,47.08,46.54,46.08
PLX,2021,47.05,50.46,41.74,48.87,47.55,47.9
PLX,2022,44.66,47.8,42.05,46.55,46.28,45.89
PLX,2023,43.92,46.85,41.26,46.45,45.29,45.64
PLX,2024,44.09,50.2,39.92,48.82,48.22,49.91
PLX,2025,45.51,48.48,42.29,47.71,46.88,47.15
PNJ,2019,46.87,52.28,45.9,50.64,49.84,48.38
PNJ,2020,48.5,53.9,46.92,51.75,50.77,49.5
PNJ,2021,46.94,50.96,44.29,49.46,50.11,48.4
PNJ,2022,49.91,54.84,47.38,52.99,50.21,51.17
PNJ,2023,44.54,48.58,43.23,47.33,47.23,45.36
PNJ,2024,47.32,52.07,45.98,50.69,50.51,48.94
PNJ,2025,48.61,53.26,47.4,51.75,50.61,49.54
VNM,2019,42.95,44.61,40.8,44.24,43.49,42.6
VNM,2020,44.33,47.42,41.71,47.51,44.9,44.75
VNM,2021,45.53,47.88,42.39,47.68,45.13,44.75
VNM,2022,43.15,44.97,40.58,44.59,44.04,44.45
VNM,2023,45.99,48.31,43.59,47.46,47.16,47.18
VNM,2024,45.35,47.43,42.83,46.57,46.31,46.3
VNM,2025,50.06,52.28,46.48,51.16,51.13,51.95
