company,year,close_yearend,close_avg,price_change_pct,Negative,Neutral,Positive,Ratio,sentiment_ratio_change_pct,gia_tut,phan_ung,greenwashing_flag,n_cau,gw_score,mau_mong,muc_do
BVH,2020,57129.0,43037.1,,663,2562,2402,3.622926093514329,,False,None,False,5627,,False,Không
BVH,2021,49161.0,50122.2,-13.95,920,2941,2527,2.746739130434783,-24.18,True,Trung thực,False,6388,0.0,False,Trung thực
BVH,2022,43618.0,48711.2,-11.28,853,2991,2575,3.018757327080891,9.9,True,None,False,6419,1.12,False,Nhẹ
BVH,2023,37870.0,41703.6,-13.18,339,1245,2107,6.215339233038348,105.89,True,Tẩy xanh,True,3691,13.96,False,Mạnh
BVH,2024,49747.0,42496.0,31.36,403,1291,2343,5.813895781637717,-6.46,False,None,False,4037,0.0,False,Không
BVH,2025,56800.0,51969.8,14.18,459,1361,2695,5.871459694989107,0.99,False,None,False,4515,0.0,False,Không
PAN,2020,24839.0,15491.6,,191,401,872,4.56544502617801,,False,None,False,1464,,False,Không
PAN,2021,28136.0,21441.4,13.27,220,352,1000,4.545454545454546,-0.44,False,None,False,1572,0.0,False,Không
PAN,2022,10925.0,17176.7,-61.17,237,401,992,4.185654008438819,-7.92,True,Trung thực,False,1630,0.0,False,Trung thực
PAN,2023,14762.0,13921.7,35.12,155,193,535,3.4516129032258065,-17.54,False,None,False,883,0.0,False,Không
PAN,2024,17723.0,17168.9,20.06,187,414,1157,6.18716577540107,79.25,False,None,False,1758,0.0,False,Không
PAN,2025,20674.0,21453.5,16.65,269,578,1197,4.449814126394052,-28.08,False,None,False,2044,0.0,False,Không
PLX,2020,45324.0,38692.1,,322,745,971,3.015527950310559,,False,None,False,2038,,False,Không
PLX,2021,45680.0,44579.4,0.79,35,63,108,3.085714285714286,2.33,False,None,False,206,0.0,False,Không
PLX,2022,28005.0,36328.8,-38.69,399,584,965,2.418546365914787,-21.62,True,Trung thực,False,1948,0.0,False,Trung thực
PLX,2023,31015.0,32786.7,10.75,95,165,709,7.463157894736842,208.58,False,None,False,969,0.0,False,Không
PLX,2024,35030.0,37174.6,12.95,11,20,81,7.363636363636363,-1.33,False,None,False,112,0.0,False,Không
PLX,2025,34079.0,34783.6,-2.71,182,405,790,4.34065934065934,-41.05,False,None,False,1377,0.0,False,Không
PNJ,2020,36207.0,29103.8,,218,584,1037,4.756880733944954,,False,None,False,1839,,False,Không
PNJ,2021,43690.0,42466.7,20.67,124,203,556,4.483870967741935,-5.74,False,None,False,883,0.0,False,Không
PNJ,2022,55443.0,51265.5,26.9,261,91,317,1.21455938697318,-72.91,False,None,False,669,0.0,False,Không
PNJ,2023,54414.0,49448.0,-1.86,165,187,698,4.2303030303030305,248.3,False,None,False,1050,4.62,False,Trung bình
PNJ,2024,63208.0,61098.2,16.16,257,315,917,3.568093385214008,-15.65,False,None,False,1489,0.0,False,Không
PNJ,2025,64049.0,56987.8,1.33,259,364,995,3.841698841698842,7.67,False,None,False,1618,0.0,False,Không
SSI,2020,10719.0,5168.8,,124,399,723,5.830645161290323,,False,None,False,1246,,False,Không
SSI,2021,24957.0,16904.7,132.83,138,280,795,5.760869565217392,-1.2,False,None,False,1213,0.0,False,Không
SSI,2022,9440.0,13964.8,-62.17,139,284,767,5.517985611510792,-4.22,True,Trung thực,False,1190,0.0,False,Trung thực
SSI,2023,18182.0,14436.8,92.61,125,311,767,6.136,11.2,False,None,False,1203,0.0,False,Không
SSI,2024,18496.0,19118.1,1.73,211,452,1006,4.767772511848341,-22.3,False,None,False,1669,0.0,False,Không
SSI,2025,24179.0,21741.1,30.73,662,374,902,1.3625377643504533,-71.42,False,None,False,1938,0.0,False,Không
VCS,2020,59488.0,44823.0,,340,740,1094,3.2176470588235295,,False,None,False,2174,,False,Không
VCS,2021,82728.0,74277.2,39.07,338,682,1119,3.3106508875739644,2.89,False,None,False,2139,0.0,False,Không
VCS,2022,43463.0,58410.8,-47.46,328,923,1204,3.6707317073170733,10.88,True,None,False,2455,5.16,False,Trung bình
VCS,2023,45535.0,44954.5,4.77,356,960,1138,3.196629213483146,-12.92,False,None,False,2454,0.0,False,Không
VCS,2024,55571.0,55614.8,22.04,315,821,1380,4.380952380952381,37.05,False,None,False,2516,0.0,False,Không
VCS,2025,40579.0,45248.0,-26.98,659,2320,2995,4.544764795144157,3.74,True,None,False,5974,1.01,False,Nhẹ
VNM,2020,79366.0,68862.1,,347,874,1810,5.216138328530259,,False,None,False,3031,,False,Không
VNM,2021,65510.0,68837.7,-17.46,461,1044,2004,4.3470715835141,-16.66,True,Trung thực,False,3509,0.0,False,Trung thực
VNM,2022,61739.0,60091.5,-5.76,339,947,1600,4.71976401179941,8.57,False,None,False,2886,0.49,False,Nhẹ
VNM,2023,57090.0,59455.8,-7.53,213,538,1156,5.427230046948357,14.99,False,None,False,1907,1.13,False,Nhẹ
VNM,2024,56564.0,58466.2,-0.92,234,570,1417,6.055555555555555,11.58,False,None,False,2221,0.11,False,Nhẹ
VNM,2025,59260.0,55478.5,4.77,236,731,1543,6.538135593220339,7.97,False,None,False,2510,0.0,False,Không
