Công ty,Năm,Tên file,Số câu,Số trang,Số câu / trang
BVH,2020,BVH_SR_2020.pdf,5627,410,13.72
BVH,2021,BVH_SR_2021.pdf,6388,222,28.77
BVH,2022,BVH_SR_2022.pdf,6419,386,16.63
BVH,2023,BVH_SR_2023.pdf,3691,279,13.23
BVH,2024,BVH_SR_2024.pdf,4037,314,12.86
BVH,2025,BVH_SR_2025.pdf,4515,346,13.05
PAN,2020,PAN_SR_2020.pdf,1464,83,17.64
PAN,2021,PAN_SR_2021.pdf,1572,76,20.68
PAN,2022,PAN_SR_2022.pdf,1630,67,24.33
PAN,2023,PAN_SR_2023.pdf,883,61,14.48
PAN,2024,PAN_SR_2024.pdf,1758,87,20.21
PAN,2025,PAN_SR_2025.pdf,2044,89,22.97
PLX,2020,PLX_SR_2020.pdf,2038,85,23.98
PLX,2021,PLX_SR_2021.pdf,206,31,6.65
PLX,2022,PLX_SR_2022.pdf,1948,107,18.21
PLX,2023,PLX_SR_2023.pdf,969,76,12.75
PLX,2024,PLX_SR_2024.pdf,112,23,4.87
PLX,2025,PLX_SR_2025.pdf,1377,81,17.0
PNJ,2020,PNJ_SR_2020.pdf,1839,59,31.17
PNJ,2021,PNJ_SR_2021.pdf,883,50,17.66
PNJ,2022,PNJ_SR_2022.pdf,669,57,11.74
PNJ,2023,PNJ_SR_2023.pdf,1050,56,18.75
PNJ,2024,PNJ_SR_2024.pdf,1489,69,21.58
PNJ,2025,PNJ_SR_2025.pdf,1618,82,19.73
SSI,2020,SSI_SR_2020.pdf,1246,51,24.43
SSI,2021,SSI_SR_2021.pdf,1213,52,23.33
SSI,2022,SSI_SR_2022.pdf,1190,51,23.33
SSI,2023,SSI_SR_2023.pdf,1203,50,24.06
SSI,2024,SSI_SR_2024.pdf,1669,56,29.8
SSI,2025,SSI_SR_2025.pdf,1938,69,28.09
VCS,2020,VCS_SR_2020.pdf,2174,102,21.31
VCS,2021,VCS_SR_2021.pdf,2139,91,23.51
VCS,2022,VCS_SR_2022.pdf,2455,103,23.83
VCS,2023,VCS_SR_2023.pdf,2454,110,22.31
VCS,2024,VCS_SR_2024.pdf,2516,125,20.13
VCS,2025,VCS_SR_2025.pdf,5974,248,24.09
VNM,2020,VNM_SR_2020.pdf,3031,107,28.33
VNM,2021,VNM_SR_2021.pdf,3509,109,32.19
VNM,2022,VNM_SR_2022.pdf,2886,93,31.03
VNM,2023,VNM_SR_2023.pdf,1907,120,15.89
VNM,2024,VNM_SR_2024.pdf,2221,112,19.83
VNM,2025,VNM_SR_2025.pdf,2510,152,16.51
