company,year,Negative,Neutral,Positive,Ratio
BVH,2020,663,2562,2402,3.622926093514329
BVH,2021,920,2941,2527,2.746739130434783
BVH,2022,853,2991,2575,3.018757327080891
BVH,2023,339,1245,2107,6.215339233038348
BVH,2024,403,1291,2343,5.813895781637717
BVH,2025,459,1361,2695,5.871459694989107
PAN,2020,191,401,872,4.56544502617801
PAN,2021,220,352,1000,4.545454545454546
PAN,2022,237,401,992,4.185654008438819
PAN,2023,155,193,535,3.4516129032258065
PAN,2024,187,414,1157,6.18716577540107
PAN,2025,269,578,1197,4.449814126394052
PLX,2020,322,745,971,3.015527950310559
PLX,2021,35,63,108,3.085714285714286
PLX,2022,399,584,965,2.418546365914787
PLX,2023,95,165,709,7.463157894736842
PLX,2024,11,20,81,7.363636363636363
PLX,2025,182,405,790,4.34065934065934
PNJ,2020,218,584,1037,4.756880733944954
PNJ,2021,124,203,556,4.483870967741935
PNJ,2022,9,0,3,0.3333333333333333
PNJ,2023,165,187,698,4.2303030303030305
PNJ,2024,257,315,917,3.568093385214008
PNJ,2025,259,364,995,3.841698841698842
SSI,2020,124,399,723,5.830645161290323
SSI,2021,138,280,795,5.760869565217392
SSI,2022,139,284,767,5.517985611510792
SSI,2023,125,311,767,6.136
SSI,2024,211,452,1006,4.767772511848341
SSI,2025,662,374,902,1.3625377643504533
VCS,2020,340,740,1094,3.2176470588235295
VCS,2021,338,682,1119,3.3106508875739644
VCS,2022,328,923,1204,3.6707317073170733
VCS,2023,356,960,1138,3.196629213483146
VCS,2024,315,821,1380,4.380952380952381
VCS,2025,659,2320,2995,4.544764795144157
VNM,2020,347,874,1810,5.216138328530259
VNM,2021,461,1044,2004,4.3470715835141
VNM,2022,339,947,1600,4.71976401179941
VNM,2023,213,538,1156,5.427230046948357
VNM,2024,234,570,1417,6.055555555555555
VNM,2025,236,731,1543,6.538135593220339
